,Sl No,Cast Number,Posting Date,Stack No,Grade,Wt(MT),Pcs,%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,99,558471,25.10.2024,,W000,32.315,,0.08,0.15,0.001,0.002,0.001,0.004,0.02,99.742
,100,558475,26.10.2024,,W000,40.958,,0.08,0.18,0.002,0.003,0.001,0.004,0.02,99.71
,101,558481,27.10.2024,,W000,34.77,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,102,558485,28.10.2024,,W000,16.163,,0.08,0.17,0.001,0.001,0.001,0.004,0.02,99.723
,103,558489,28.10.2024,,W000,30.203,,0.08,0.18,0.001,0.005,0.001,0.004,0.02,99.709
,104,558493,28.10.2024,,W000,12.414,,0.09,0.17,0.001,0.008,0.001,0.004,0.02,99.706
,105,558497,29.10.2024,,W000,41.15,,0.09,0.17,0.002,0.004,0.001,0.004,0.02,99.709
,106,558501,30.10.2024,,W000,14.131,,0.1,0.2,0.001,0.001,0.001,0.004,0.02,99.673
,107,558505,30.10.2024,,W000,6.24,,0.09,0.2,0.002,0.004,0.001,0.004,0.02,99.679
,108,558509,31.10.2024,,W000,37.428,,0.09,0.17,0.001,0.002,0.001,0.004,0.02,99.712
,109,558513,31.10.2024,,W000,10.193,,0.09,0.19,0.001,0.001,0.001,0.004,0.02,99.693
,110,558517,02.11.2024,,W000,8.323,,0.09,0.17,0.001,0.003,0.001,0.004,0.02,99.711
,111,558521,02.11.2024,,W000,41.695,,0.1,0.19,0.001,0.003,0.001,0.004,0.02,99.681
,112,558525,03.11.2024,,W000,12.479,,0.1,0.18,0.001,0.002,0.001,0.004,0.02,99.692
,113,558529,03.11.2024,,W000,30.337,,0.09,0.16,0.001,0.002,0.001,0.004,0.02,99.722
,114,558533,04.11.2024,,W000,12.6,,0.1,0.19,0.001,0.003,0.001,0.004,0.02,99.681
,115,558537,04.11.2024,,W000,29.17,,0.1,0.19,0.001,0.002,0.001,0.004,0.02,99.682
,116,558541,04.11.2024,,W000,6.113,,0.11,0.19,0.001,0.005,0.001,0.004,0.02,99.669
,117,558543,06.11.2024,,W000,14.493,,0.07,0.15,0.001,0.001,0.001,0.004,0.02,99.753
,118,558545,06.11.2024,,W000,36.247,,0.11,0.16,0.001,0.003,0.001,0.004,0.02,99.701
,119,558549,07.11.2024,,W000,39.055,,0.11,0.2,0.001,0.002,0.001,0.004,0.02,99.662
,120,558553,07.11.2024,,W000,22.215,,0.1,0.16,0.001,0.002,0.001,0.004,0.02,99.712
,121,558557,08.11.2024,,W000,33.245,,0.11,0.19,0.001,0.003,0.001,0.004,0.02,99.671
,122,558561,09.11.2024,,W000,33.112,,0.13,0.17,0.001,0.003,0.001,0.004,0.02,99.671
,123,558565,09.11.2024,,W000,26.213,,0.12,0.16,0.001,0.001,0.001,0.004,0.02,99.693
,124,558569,10.11.2024,,W000,43.803,,0.12,0.16,0.001,0.002,0.001,0.004,0.02,99.692
,125,558573,10.11.2024,,W000,37.356,,0.11,0.16,0.001,0.002,0.001,0.004,0.02,99.702
,126,558577,11.11.2024,,W000,39.248,,0.12,0.16,0.001,0.004,0.001,0.004,0.02,99.69
,127,558581,12.11.2024,,W000,10.272,,0.12,0.16,0.001,0.002,0.001,0.005,0.02,99.691
,128,558585,12.11.2024,,W000,41.423,,0.11,0.17,0.001,0.002,0.001,0.004,0.02,99.692
,129,558589,12.11.2024,,W000,20.63,,0.12,0.2,0.001,0.002,0.001,0.005,0.02,99.651
,130,558593,13.11.2024,,W000,30.877,,0.11,0.17,0.001,0.001,0.001,0.005,0.02,99.692
,131,558597,14.11.2024,,W000,30.933,,0.11,0.18,0.001,0.005,0.001,0.004,0.02,99.679
,132,558601,14.11.2024,,W000,30.695,,0.11,0.16,0.002,0.003,0.001,0.004,0.02,99.7
,133,558605,14.11.2024,,W000,10.34,,0.11,0.16,0.004,0.012,0.001,0.004,0.02,99.689
,134,558609,15.11.2024,,W000,37.163,,0.11,0.16,0.002,0.006,0.001,0.004,0.02,99.697
,135,558613,16.11.2024,,W000,37.128,,0.12,0.18,0.002,0.003,0.001,0.005,0.02,99.669
,136,558617,17.11.2024,,W000,35.028,,0.11,0.17,0.002,0.003,0.001,0.004,0.02,99.69
,137,558621,17.11.2024,,W000,37.122,,0.12,0.17,0.001,0.002,0.001,0.004,0.02,99.682
