,Sl No,Cast Number,Posting Date,Stack No,Grade,Wt(MT),Pcs,%SI,%FE,%TI,%V,%CU,%MN,OTHIMP,%AL
,315,758200,10.09.2024,,W000,22.47,,0.07,0.21,0.001,0.002,0.001,0.004,0.02,99.692
,316,758204,10.09.2024,,W000,28.683,,0.07,0.22,0.001,0.003,0.001,0.004,0.02,99.681
,317,758208,10.09.2024,,W000,18.427,,0.07,0.21,0.001,0.003,0.001,0.004,0.02,99.691
,318,758212,11.09.2024,,W000,24.749,,0.07,0.21,0.001,0.002,0.001,0.004,0.02,99.692
,319,758216,11.09.2024,,W000,20.572,,0.07,0.19,0.001,0.001,0.001,0.004,0.02,99.713
,320,758220,12.09.2024,,W000,16.668,,0.06,0.23,0.003,0.012,0.001,0.004,0.02,99.67
,321,758224,12.09.2024,,W000,26.742,,0.07,0.24,0.004,0.012,0.001,0.004,0.02,99.649
,322,758228,12.09.2024,,W000,20.646,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,323,758232,13.09.2024,,W000,26.682,,0.07,0.21,0.003,0.012,0.001,0.004,0.02,99.68
,324,758236,13.09.2024,,W000,30.322,,0.07,0.21,0.002,0.005,0.001,0.004,0.02,99.688
,325,758240,14.09.2024,,W000,24.486,,0.07,0.26,0.003,0.01,0.001,0.004,0.02,99.632
,326,758244,14.09.2024,,W000,29.191,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,327,758248,15.09.2024,,W000,8.182,,0.07,0.2,0.001,0.003,0.001,0.004,0.02,99.701
,328,758252,15.09.2024,,W000,24.961,,0.07,0.2,0.002,0.006,0.001,0.004,0.02,99.697
,329,758256,15.09.2024,,W000,35.304,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,330,758260,16.09.2024,,W000,31.129,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,331,758264,16.09.2024,,W000,35.344,,0.08,0.19,0.002,0.007,0.001,0.004,0.02,99.696
,332,758268,17.09.2024,,W000,21.083,,0.08,0.2,0.002,0.004,0.001,0.004,0.02,99.689
,333,758358,01.10.2024,,W000,30.807,,0.09,0.25,0.007,0.01,0.001,0.004,0.02,99.618
,334,758362,02.10.2024,,W000,10.348,,0.09,0.19,0.003,0.008,0.001,0.004,0.02,99.684
,335,758366,02.10.2024,,W000,30.451,,0.07,0.18,0.001,0.002,0.001,0.003,0.02,99.723
,336,758370,02.10.2024,,W000,28.2,,0.08,0.22,0.001,0.004,0.001,0.004,0.02,99.67
,337,758374,03.10.2024,,W000,19.71,,0.08,0.2,0.001,0.001,0.001,0.004,0.02,99.693
,338,758378,03.10.2024,,W000,29.972,,0.08,0.23,0.001,0.001,0.001,0.004,0.02,99.663
,339,758382,04.10.2024,,W000,3.401,,0.1,0.2,0.001,0.002,0.001,0.004,0.02,99.672
,340,758390,05.10.2024,,W000,26.563,,0.09,0.21,0.001,0.002,0.001,0.004,0.02,99.672
,341,758394,06.10.2024,,W000,12.397,,0.08,0.22,0.001,0.003,0.001,0.004,0.02,99.671
,342,758398,06.10.2024,,W000,29.042,,0.09,0.18,0.001,0.004,0.001,0.004,0.02,99.7
,343,758402,06.10.2024,,W000,28.948,,0.09,0.2,0.001,0.003,0.001,0.004,0.02,99.681
,344,758406,07.10.2024,,W000,28.956,,0.08,0.19,0.001,0.001,0.001,0.004,0.02,99.703
,345,758410,07.10.2024,,W000,37.45,,0.08,0.22,0.001,0.002,0.001,0.004,0.02,99.672
,346,758414,07.10.2024,,W000,8.417,,0.08,0.2,0.001,0.003,0.001,0.004,0.02,99.691
,347,758418,09.10.2024,,W000,41.039,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,348,758420,09.10.2024,,W000,39.66,,0.08,0.19,0.004,0.008,0.001,0.004,0.02,99.693
,349,758422,09.10.2024,,W000,32.03,,0.08,0.19,0.001,0.006,0.001,0.004,0.02,99.698
,350,758424,10.10.2024,,W000,40.112,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,351,758426,10.10.2024,,W000,40.914,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,352,758428,11.10.2024,,W000,9.98,,0.08,0.18,0.001,0.001,0.001,0.004,0.02,99.713
,353,758430,11.10.2024,,W000,33.815,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,354,758432,11.10.2024,,W000,40.394,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,355,758434,11.10.2024,,W000,40.802,,0.08,0.19,0.001,0.003,0.001,0.004,0.02,99.701
,356,758436,12.10.2024,,W000,27.902,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,357,758438,13.10.2024,,W000,11.825,,0.08,0.2,0.001,0.003,0.001,0.004,0.02,99.691
,358,758440,13.10.2024,,W000,29.557,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,359,758442,13.10.2024,,W000,22.759,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,360,758444,14.10.2024,,W000,34.618,,0.07,0.19,0.001,0.003,0.001,0.004,0.02,99.711
,361,758446,14.10.2024,,W000,21.69,,0.07,0.19,0.001,0.003,0.001,0.004,0.02,99.711
,362,758448,15.10.2024,,W000,41.348,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,363,758450,15.10.2024,,W000,39.94,,0.07,0.18,0.002,0.004,0.001,0.004,0.02,99.719
,364,758452,16.10.2024,,W000,9.796,,0.07,0.18,0.001,0.003,0.001,0.004,0.02,99.721
,365,758454,16.10.2024,,W000,37.092,,0.07,0.18,0.001,0.001,0.001,0.004,0.02,99.723
,366,758456,16.10.2024,,W000,38.648,,0.07,0.2,0.001,0.001,0.001,0.004,0.02,99.703
,367,758458,16.10.2024,,W000,27.311,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,368,758460,17.10.2024,,W000,19.869,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,369,758462,17.10.2024,,W000,39.465,,0.07,0.17,0.002,0.004,0.001,0.004,0.02,99.729
,370,758464,17.10.2024,,W000,36.077,,0.07,0.17,0.001,0.003,0.001,0.004,0.02,99.731
,371,758466,17.10.2024,,W000,39.338,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,372,758468,17.10.2024,,W000,5.926,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,373,758470,18.10.2024,,W000,29.427,,0.07,0.18,0.001,0.003,0.001,0.004,0.02,99.721
,374,758472,18.10.2024,,W000,39.727,,0.07,0.19,0.002,0.005,0.001,0.004,0.02,99.708
,375,758474,19.10.2024,,W000,13.799,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,376,758476,19.10.2024,,W000,25.684,,0.07,0.18,0.001,0.002,0.001,0.004,0.02,99.722
,377,758478,20.10.2024,,W000,23.954,,0.08,0.18,0.002,0.006,0.001,0.004,0.02,99.707
,378,758480,20.10.2024,,W000,29.325,,0.07,0.17,0.001,0.002,0.001,0.004,0.02,99.732
,379,758482,20.10.2024,,W000,33.172,,0.08,0.17,0.001,0.003,0.001,0.003,0.02,99.722
,380,758484,20.10.2024,,W000,20.249,,0.08,0.18,0.002,0.007,0.001,0.004,0.02,99.706
,381,758486,21.10.2024,,W000,41.081,,0.07,0.17,0.002,0.004,0.001,0.004,0.02,99.729
,382,758488,21.10.2024,,W000,2.531,,0.07,0.21,0.001,0.005,0.001,0.004,0.02,99.689
,383,758490,21.10.2024,,W000,39.706,,0.07,0.19,0.001,0.006,0.001,0.004,0.02,99.708
,384,758492,22.10.2024,,W000,5.237,,0.08,0.18,0.001,0.004,0.001,0.004,0.02,99.71
,385,758494,22.10.2024,,W000,25.447,,0.07,0.18,0.001,0.003,0.001,0.003,0.02,99.722
,386,758496,23.10.2024,,W000,39.227,,0.08,0.17,0.003,0.01,0.001,0.004,0.02,99.712
,387,758498,23.10.2024,,W000,43.342,,0.08,0.18,0.002,0.009,0.001,0.004,0.02,99.704
,388,758500,23.10.2024,,W000,26.899,,0.08,0.18,0.002,0.009,0.001,0.004,0.02,99.704
,389,758502,24.10.2024,,W000,40.694,,0.09,0.25,0.001,0.002,0.001,0.004,0.02,99.632
,390,758504,24.10.2024,,W000,38.617,,0.09,0.22,0.001,0.002,0.001,0.004,0.02,99.662
,391,758506,24.10.2024,,W000,39.524,,0.08,0.23,0.001,0.002,0.001,0.004,0.02,99.662
,392,758508,25.10.2024,,W000,31.038,,0.08,0.19,0.001,0.003,0.001,0.004,0.02,99.701
,393,758512,25.10.2024,,W000,39.447,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,394,758514,26.10.2024,,W000,4.127,,0.07,0.15,0.001,0.004,0.001,0.004,0.02,99.75
,395,758516,26.10.2024,,W000,32.584,,0.08,0.2,0.001,0.003,0.001,0.004,0.02,99.691
,396,758520,26.10.2024,,W000,37.088,,0.08,0.2,0.002,0.004,0.001,0.004,0.02,99.689
,397,758524,26.10.2024,,W000,2.07,,0.08,0.2,0.002,0.003,0.001,0.004,0.02,99.69
,398,758528,27.10.2024,,W000,34.915,,0.08,0.19,0.002,0.005,0.001,0.004,0.02,99.698
,399,758532,28.10.2024,,W000,26.756,,0.09,0.19,0.003,0.009,0.001,0.004,0.02,99.683
,400,758536,28.10.2024,,W000,33.096,,0.08,0.17,0.001,0.002,0.001,0.004,0.02,99.722
,401,758540,29.10.2024,,W000,4.115,,0.09,0.18,0.002,0.007,0.001,0.004,0.02,99.696
,402,758544,29.10.2024,,W000,35.39,,0.08,0.19,0.001,0.005,0.001,0.004,0.02,99.699
,403,758548,29.10.2024,,W000,20.675,,0.09,0.22,0.001,0.002,0.001,0.004,0.02,99.662
,404,758552,30.10.2024,,W000,35.278,,0.09,0.21,0.001,0.004,0.001,0.004,0.02,99.67
,405,758556,30.10.2024,,W000,24.115,,0.09,0.2,0.003,0.01,0.001,0.004,0.02,99.672
,406,758560,31.10.2024,,W000,24.71,,0.09,0.18,0.001,0.003,0.001,0.004,0.02,99.701
,407,758564,31.10.2024,,W000,34.477,,0.09,0.24,0.001,0.002,0.001,0.004,0.02,99.642
,408,758568,01.11.2024,,W000,4.185,,0.1,0.23,0.001,0.001,0.001,0.005,0.02,99.642
,409,758572,01.11.2024,,W000,24.138,,0.1,0.21,0.001,0.002,0.001,0.004,0.02,99.662
,410,758576,01.11.2024,,W000,30.39,,0.1,0.18,0.001,0.003,0.001,0.004,0.02,99.691
,411,758580,02.11.2024,,W000,28.524,,0.09,0.24,0.001,0.001,0.001,0.004,0.02,99.643
,412,758584,02.11.2024,,W000,30.965,,0.09,0.18,0.001,0.001,0.001,0.004,0.02,99.703
,413,758588,03.11.2024,,W000,29.021,,0.1,0.18,0.001,0.003,0.001,0.004,0.02,99.691
,414,758592,03.11.2024,,W000,26.962,,0.1,0.18,0.001,0.002,0.001,0.004,0.02,99.692
,415,758596,04.11.2024,,W000,14.488,,0.1,0.18,0.002,0.004,0.001,0.004,0.02,99.689
,416,758598,05.11.2024,,W000,21.762,,0.1,0.18,0.001,0.002,0.001,0.004,0.02,99.692
,417,758602,05.11.2024,,W000,29.085,,0.1,0.18,0.001,0.001,0.001,0.004,0.02,99.693
,418,758606,06.11.2024,,W000,24.814,,0.1,0.16,0.001,0.004,0.001,0.004,0.02,99.71
,419,758610,06.11.2024,,W000,25.058,,0.12,0.22,0.001,0.001,0.001,0.004,0.02,99.633
,420,758614,06.11.2024,,W000,10.871,,0.11,0.18,0.001,0.002,0.001,0.004,0.02,99.682
,421,758618,07.11.2024,,W000,29.919,,0.11,0.19,0.001,0.001,0.001,0.004,0.02,99.673
,422,758622,07.11.2024,,W000,10.38,,0.1,0.18,0.001,0.003,0.001,0.004,0.02,99.691
,423,758626,08.11.2024,,W000,26.472,,0.11,0.16,0.002,0.007,0.001,0.004,0.02,99.696
,424,758630,08.11.2024,,W000,14.278,,0.12,0.19,0.002,0.003,0.001,0.004,0.02,99.66
,425,758634,09.11.2024,,W000,28.94,,0.12,0.19,0.001,0.002,0.001,0.004,0.02,99.662
,426,758638,10.11.2024,,W000,31.081,,0.12,0.21,0.001,0.002,0.001,0.004,0.02,99.642
,427,758642,10.11.2024,,W000,22.776,,0.12,0.18,0.001,0.002,0.001,0.005,0.02,99.671
,428,758646,11.11.2024,,W000,30.967,,0.11,0.16,0.001,0.002,0.001,0.004,0.02,99.702
,429,758650,11.11.2024,,W000,31.005,,0.12,0.15,0.002,0.009,0.001,0.004,0.02,99.694
,430,758654,12.11.2024,,W000,35.111,,0.12,0.18,0.001,0.002,0.001,0.004,0.02,99.672
,431,758658,12.11.2024,,W000,28.986,,0.12,0.19,0.001,0.001,0.001,0.004,0.02,99.663
,432,758662,13.11.2024,,W000,31.01,,0.11,0.16,0.004,0.012,0.001,0.004,0.02,99.689
,433,758666,13.11.2024,,W000,22.9,,0.11,0.19,0.001,0.002,0.001,0.004,0.02,99.672
,434,758670,14.11.2024,,W000,28.461,,0.13,0.21,0.002,0.003,0.001,0.005,0.02,99.629
,435,758674,14.11.2024,,W000,4.161,,0.11,0.16,0.001,0.001,0.001,0.004,0.02,99.703
,436,758678,15.11.2024,,W000,30.7,,0.12,0.17,0.001,0.001,0.001,0.004,0.02,99.683
,437,758682,15.11.2024,,W000,4.153,,0.12,0.18,0.001,0.002,0.001,0.004,0.02,99.672
,438,758686,16.11.2024,,W000,26.353,,0.12,0.17,0.002,0.004,0.001,0.004,0.02,99.679
,439,758688,16.11.2024,,W000,9.368,,0.12,0.16,0.002,0.003,0.001,0.004,0.02,99.69
,440,758692,17.11.2024,,W000,27.854,,0.1,0.2,0.001,0.002,0.001,0.004,0.02,99.672
,441,758698,18.11.2024,,W000,8.127,,0.12,0.18,0.001,0.002,0.001,0.004,0.02,99.672
,442,758702,18.11.2024,,W000,29.206,,0.11,0.17,0.002,0.007,0.001,0.004,0.02,99.686
,443,758708,19.11.2024,,W000,10.74,,0.12,0.19,0.001,0.003,0.001,0.005,0.02,99.66
,444,758712,19.11.2024,,W000,24.114,,0.12,0.18,0.001,0.001,0.001,0.004,0.02,99.673
,445,758716,20.11.2024,,W000,14.701,,0.11,0.18,0.001,0.002,0.001,0.004,0.02,99.682
,446,758720,20.11.2024,,W000,27.196,,0.13,0.16,0.001,0.002,0.001,0.004,0.02,99.682
,447,758724,20.11.2024,,W000,14.795,,0.12,0.18,0.002,0.005,0.001,0.004,0.02,99.668
,448,758728,21.11.2024,,W000,34.925,,0.1,0.17,0.001,0.003,0.001,0.004,0.02,99.701
,449,758732,22.11.2024,,W000,32.182,,0.1,0.18,0.001,0.002,0.001,0.004,0.02,99.692
,450,758736,22.11.2024,,W000,35.609,,0.1,0.18,0.001,0.002,0.001,0.004,0.02,99.692
,451,758740,23.11.2024,,W000,28.784,,0.12,0.16,0.002,0.003,0.001,0.004,0.02,99.69
,452,758744,23.11.2024,,W000,25.211,,0.12,0.18,0.002,0.004,0.001,0.005,0.02,99.668
,453,758748,24.11.2024,,W000,25.608,,0.12,0.17,0.001,0.002,0.001,0.004,0.02,99.682
,454,758752,24.11.2024,,W000,31.366,,0.12,0.14,0.002,0.007,0.001,0.004,0.02,99.706
,455,858112,01.09.2024,,W000,35.235,,0.06,0.18,0.001,0.002,0.001,0.004,0.02,99.732
,456,858116,01.09.2024,,W000,22.739,,0.06,0.19,0.001,0.002,0.001,0.004,0.02,99.722
,457,858120,01.09.2024,,W000,23.641,,0.06,0.18,0.002,0.002,0.001,0.004,0.02,99.731
,458,858124,02.09.2024,,W000,31.175,,0.06,0.18,0.001,0.001,0.001,0.003,0.02,99.734
,459,858128,02.09.2024,,W000,27.055,,0.06,0.16,0.002,0.003,0.001,0.003,0.02,99.751
,460,858132,03.09.2024,,W000,24.386,,0.06,0.16,0.001,0.004,0.001,0.004,0.02,99.75
,461,858138,04.09.2024,,W000,28.801,,0.06,0.19,0.001,0.005,0.002,0.004,0.02,99.718
,462,858142,04.09.2024,,W000,9.852,,0.06,0.18,0.002,0.004,0.001,0.004,0.02,99.729
,463,858146,05.09.2024,,W000,14.436,,0.06,0.18,0.002,0.006,0.001,0.004,0.02,99.727
,464,858150,05.09.2024,,W000,24.716,,0.06,0.16,0.002,0.009,0.001,0.004,0.02,99.744
,465,858154,05.09.2024,,W000,25.749,,0.06,0.18,0.002,0.008,0.001,0.004,0.02,99.725
,466,858158,06.09.2024,,W000,17.824,,0.06,0.2,0.002,0.006,0.001,0.004,0.02,99.707
,467,858162,06.09.2024,,W000,26.723,,0.06,0.16,0.004,0.012,0.001,0.004,0.02,99.739
,468,858166,06.09.2024,,W000,24.734,,0.07,0.27,0.003,0.01,0.001,0.004,0.02,99.622
,469,858170,07.09.2024,,W000,28.903,,0.06,0.27,0.003,0.009,0.001,0.004,0.02,99.633
,470,858174,07.09.2024,,W000,24.346,,0.06,0.23,0.002,0.004,0.001,0.004,0.02,99.679
,471,858178,07.09.2024,,W000,29.139,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,472,858182,08.09.2024,,W000,12.377,,0.07,0.21,0.004,0.011,0.001,0.004,0.02,99.68
,473,858186,08.09.2024,,W000,28.47,,0.06,0.25,0.001,0.005,0.001,0.004,0.02,99.659
,474,858190,09.09.2024,,W000,12.282,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,475,858194,09.09.2024,,W000,24.395,,0.07,0.21,0.002,0.003,0.001,0.004,0.02,99.69
,476,858198,09.09.2024,,W000,26.501,,0.06,0.16,0.001,0.002,0.001,0.003,0.02,99.753
,477,858202,11.09.2024,,W000,36.472,,0.07,0.23,0.001,0.003,0.001,0.004,0.02,99.671
,478,858206,11.09.2024,,W000,32.58,,0.07,0.23,0.001,0.002,0.001,0.004,0.02,99.672
,479,858210,11.09.2024,,W000,34.884,,0.07,0.21,0.001,0.002,0.001,0.004,0.02,99.692
,480,858214,11.09.2024,,W000,28.725,,0.07,0.2,0.004,0.014,0.001,0.004,0.02,99.687
,481,858218,11.09.2024,,W000,26.731,,0.07,0.2,0.001,0.006,0.001,0.004,0.02,99.698
,482,858222,12.09.2024,,W000,28.192,,0.07,0.2,0.001,0.001,0.001,0.004,0.02,99.703
,483,858226,12.09.2024,,W000,33.164,,0.07,0.23,0.003,0.012,0.001,0.004,0.02,99.66
,484,858230,13.09.2024,,W000,16.457,,0.06,0.18,0.001,0.001,0.001,0.003,0.02,99.734
,485,858234,13.09.2024,,W000,21.907,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,486,858238,14.09.2024,,W000,14.167,,0.07,0.19,0.002,0.003,0.001,0.004,0.02,99.71
,487,858242,14.09.2024,,W000,28.675,,0.07,0.2,0.001,0.002,0.001,0.004,0.02,99.702
,488,858246,14.09.2024,,W000,33.251,,0.07,0.23,0.002,0.006,0.001,0.005,0.02,99.666
,489,858250,15.09.2024,,W000,33.101,,0.07,0.19,0.002,0.007,0.001,0.004,0.02,99.706
,490,858254,15.09.2024,,W000,29.136,,0.07,0.21,0.001,0.002,0.001,0.004,0.02,99.692
,491,858258,15.09.2024,,W000,14.549,,0.07,0.21,0.001,0.004,0.001,0.004,0.02,99.69
,492,858262,16.09.2024,,W000,33.192,,0.08,0.22,0.001,0.002,0.001,0.005,0.02,99.671
,493,858266,16.09.2024,,W000,22.58,,0.08,0.18,0.001,0.002,0.001,0.004,0.02,99.712
,494,858270,17.09.2024,,W000,32.332,,0.07,0.16,0.001,0.002,0.001,0.004,0.02,99.742
,495,858272,17.09.2024,,W000,5.28,,0.09,0.2,0.002,0.004,0.001,0.004,0.02,99.679
,496,858274,18.09.2024,,W000,40.828,,0.08,0.19,0.003,0.006,0.001,0.004,0.02,99.696
,497,858276,18.09.2024,,W000,33.538,,0.08,0.16,0.005,0.015,0.001,0.004,0.02,99.715
,498,858278,18.09.2024,,W000,33.097,,0.07,0.2,0.003,0.008,0.001,0.004,0.02,99.694
,499,858280,19.09.2024,,W000,33.211,,0.08,0.2,0.003,0.007,0.001,0.004,0.002,99.703
,500,858282,19.09.2024,,W000,34.19,,0.07,0.2,0.002,0.004,0.001,0.005,0.02,99.698
,501,858284,19.09.2024,,W000,32.473,,0.08,0.19,0.003,0.01,0.001,0.004,0.02,99.692
,502,858286,19.09.2024,,W000,31.849,,0.07,0.19,0.002,0.004,0.001,0.004,0.02,99.709
,503,858288,20.09.2024,,W000,34.797,,0.08,0.19,0.001,0.002,0.001,0.005,0.02,99.701
,504,858290,20.09.2024,,W000,33.448,,0.08,0.2,0.001,0.002,0.001,0.005,0.02,99.691
,505,858292,20.09.2024,,W000,30.514,,0.07,0.19,0.002,0.003,0.001,0.005,0.02,99.709
,506,858294,21.09.2024,,W000,33.166,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,507,858296,21.09.2024,,W000,33.188,,0.08,0.19,0.003,0.01,0.001,0.004,0.02,99.692
,508,858298,21.09.2024,,W000,33.219,,0.07,0.2,0.001,0.004,0.001,0.004,0.02,99.7
,509,858300,22.09.2024,,W000,19.92,,0.07,0.2,0.001,0.003,0.001,0.005,0.02,99.7
,510,858302,22.09.2024,,W000,33.319,,0.08,0.2,0.001,0.003,0.001,0.004,0.02,99.691
,511,858304,22.09.2024,,W000,33.622,,0.07,0.2,0.002,0.006,0.001,0.004,0.02,99.697
,512,858306,23.09.2024,,W000,10.59,,0.08,0.2,0.003,0.007,0.001,0.004,0.02,99.685
,513,858308,23.09.2024,,W000,3.971,,0.09,0.2,0.001,0.005,0.001,0.004,0.02,99.679
,514,858310,24.09.2024,,W000,32.408,,0.08,0.19,0.002,0.006,0.001,0.004,0.02,99.697
,515,858312,24.09.2024,,W000,30.569,,0.08,0.23,0.002,0.005,0.001,0.004,0.02,99.658
,516,858314,24.09.2024,,W000,10.152,,0.08,0.24,0.002,0.005,0.001,0.004,0.02,99.648
,517,858316,25.09.2024,,W000,33.69,,0.08,0.19,0.002,0.005,0.001,0.005,0.02,99.697
,518,858318,25.09.2024,,W000,26.153,,0.08,0.18,0.002,0.006,0.001,0.004,0.02,99.707
,519,858320,25.09.2024,,W000,29.581,,0.08,0.19,0.002,0.007,0.001,0.004,0.02,99.696
,520,858322,26.09.2024,,W000,40.854,,0.08,0.18,0.002,0.006,0.001,0.004,0.02,99.707
,521,858324,26.09.2024,,W000,37.283,,0.09,0.21,0.002,0.006,0.001,0.005,0.02,99.666
,522,858326,26.09.2024,,W000,30.371,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,523,858328,26.09.2024,,W000,14.145,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,524,858330,27.09.2024,,W000,46.79,,0.07,0.21,0.001,0.002,0.001,0.004,0.02,99.692
,525,858332,27.09.2024,,W000,40.147,,0.08,0.19,0.003,0.004,0.001,0.004,0.02,99.698
,526,858334,28.09.2024,,W000,20.275,,0.08,0.19,0.002,0.005,0.001,0.004,0.02,99.698
,527,858336,28.09.2024,,W000,40.325,,0.08,0.2,0.004,0.012,0.001,0.004,0.02,99.679
,528,858338,28.09.2024,,W000,40.685,,0.08,0.21,0.002,0.004,0.001,0.004,0.02,99.679
,529,858340,28.09.2024,,W000,30.59,,0.08,0.19,0.001,0.003,0.001,0.004,0.02,99.701
,530,858342,29.09.2024,,W000,41.051,,0.08,0.2,0.002,0.006,0.001,0.004,0.02,99.687
,531,858344,29.09.2024,,W000,36.699,,0.07,0.19,0.001,0.002,0.001,0.004,0.02,99.712
,532,858346,29.09.2024,,W000,40.551,,0.08,0.2,0.001,0.001,0.001,0.004,0.02,99.693
,533,858348,30.09.2024,,W000,24.569,,0.08,0.21,0.002,0.005,0.001,0.004,0.02,99.678
,534,858350,30.09.2024,,W000,39.829,,0.08,0.19,0.002,0.004,0.001,0.004,0.02,99.699
,535,858352,30.09.2024,,W000,40.259,,0.09,0.23,0.002,0.005,0.001,0.004,0.02,99.648
,536,858354,30.09.2024,,W000,34.673,,0.09,0.2,0.003,0.005,0.001,0.004,0.02,99.677
,537,858356,01.10.2024,,W000,37.005,,0.09,0.2,0.001,0.003,0.001,0.004,0.02,99.681
,538,858360,01.10.2024,,W000,36.215,,0.08,0.21,0.001,0.002,0.001,0.004,0.02,99.682
,539,858364,02.10.2024,,W000,24.259,,0.09,0.18,0.002,0.007,0.001,0.003,0.02,99.697
,540,858368,02.10.2024,,W000,36.818,,0.08,0.22,0.001,0.003,0.001,0.004,0.02,99.671
,541,858372,03.10.2024,,W000,18.261,,0.08,0.21,0.001,0.001,0.001,0.004,0.02,99.683
,542,858376,03.10.2024,,W000,28.49,,0.08,0.22,0.001,0.001,0.001,0.004,0.02,99.673
,543,858380,03.10.2024,,W000,26.355,,0.08,0.24,0.001,0.003,0.001,0.005,0.02,99.65
,544,858384,04.10.2024,,W000,32.774,,0.08,0.22,0.001,0.002,0.001,0.004,0.02,99.672
,545,858386,04.10.2024,,W000,11.646,,0.08,0.19,0.001,0.001,0.001,0.004,0.02,99.703
,546,858388,05.10.2024,,W000,22.14,,0.09,0.21,0.001,0.002,0.001,0.004,0.02,99.672
,547,858392,05.10.2024,,W000,30.986,,0.09,0.23,0.001,0.003,0.001,0.004,0.02,99.651
,548,858396,06.10.2024,,W000,26.836,,0.08,0.18,0.001,0.003,0.001,0.004,0.02,99.711
,549,858400,06.10.2024,,W000,22.428,,0.08,0.18,0.001,0.001,0.001,0.004,0.02,99.713
,550,858404,07.10.2024,,W000,10.191,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,551,858408,07.10.2024,,W000,35.241,,0.08,0.2,0.001,0.002,0.001,0.004,0.02,99.692
,552,858412,07.10.2024,,W000,27.334,,0.08,0.2,0.001,0.003,0.001,0.004,0.02,99.691
,553,858416,08.10.2024,,W000,8.039,,0.08,0.19,0.001,0.003,0.001,0.004,0.02,99.701
,554,858510,25.10.2024,,W000,30.533,,0.07,0.18,0.001,0.004,0.001,0.004,0.02,99.72
,555,858518,26.10.2024,,W000,32.275,,0.08,0.19,0.001,0.002,0.001,0.004,0.02,99.702
,556,858522,26.10.2024,,W000,24.718,,0.08,0.2,0.002,0.003,0.001,0.004,0.02,99.69
,557,858526,27.10.2024,,W000,3.311,,0.08,0.18,0.001,0.002,0.001,0.004,0.02,99.712
,558,858530,27.10.2024,,W000,30.765,,0.08,0.18,0.001,0.002,0.001,0.004,0.02,99.712
,559,858534,28.10.2024,,W000,37.223,,0.08,0.16,0.001,0.002,0.001,0.004,0.02,99.732
,560,858538,28.10.2024,,W000,27.845,,0.09,0.21,0.001,0.002,0.001,0.004,0.02,99.672
,561,858542,29.10.2024,,W000,30.468,,0.1,0.2,0.001,0.004,0.001,0.004,0.02,99.67
,562,858546,29.10.2024,,W000,41.601,,0.09,0.18,0.001,0.001,0.001,0.004,0.02,99.703
,563,858550,29.10.2024,,W000,6.292,,0.09,0.21,0.001,0.002,0.001,0.004,0.02,99.672
,564,858554,30.10.2024,,W000,27.901,,0.1,0.19,0.001,0.005,0.001,0.004,0.02,99.679
,565,858558,30.10.2024,,W000,24.684,,0.09,0.22,0.002,0.005,0.001,0.004,0.02,99.658
,566,858562,31.10.2024,,W000,21.183,,0.09,0.23,0.001,0.003,0.001,0.004,0.02,99.651
,567,858566,31.10.2024,,W000,41.238,,0.09,0.2,0.001,0.003,0.001,0.004,0.02,99.681
,568,858570,01.11.2024,,W000,35.237,,0.09,0.24,0.001,0.003,0.001,0.004,0.02,99.641
,569,858574,01.11.2024,,W000,41.073,,0.09,0.2,0.001,0.003,0.001,0.004,0.02,99.681
,570,858578,01.11.2024,,W000,6.208,,0.1,0.17,0.001,0.003,0.001,0.004,0.02,99.701
,571,858582,02.11.2024,,W000,31.08,,0.1,0.18,0.001,0.002,0.001,0.004,0.02,99.692
